UF,V1022,V2001,V2005,V2007,V2009,V2010,V3001,V3009A,VD4019
23.0,1.0,2.0,5.0,2.0,23.0,1.0,1.0,7.0,
23.0,1.0,2.0,2.0,2.0,65.0,4.0,2.0,3.0,
23.0,1.0,3.0,2.0,1.0,58.0,4.0,1.0,11.0,
23.0,1.0,8.0,10.0,1.0,9.0,4.0,1.0,,
23.0,1.0,2.0,2.0,2.0,61.0,4.0,1.0,8.0,
23.0,1.0,3.0,1.0,1.0,73.0,1.0,1.0,5.0,
23.0,1.0,3.0,2.0,2.0,46.0,4.0,1.0,7.0,
23.0,2.0,3.0,5.0,1.0,17.0,3.0,1.0,,
23.0,2.0,2.0,12.0,1.0,20.0,1.0,1.0,7.0,1320.0
23.0,2.0,1.0,1.0,1.0,43.0,1.0,1.0,10.0,2000.0
23.0,2.0,3.0,2.0,1.0,23.0,4.0,1.0,7.0,750.0
23.0,2.0,3.0,4.0,1.0,1.0,4.0,,,
23.0,1.0,1.0,1.0,2.0,62.0,4.0,1.0,7.0,
23.0,1.0,4.0,14.0,1.0,34.0,1.0,1.0,10.0,3500.0
23.0,1.0,3.0,1.0,1.0,66.0,1.0,1.0,10.0,
23.0,2.0,5.0,1.0,1.0,30.0,1.0,1.0,8.0,400.0
23.0,2.0,2.0,2.0,2.0,53.0,1.0,1.0,7.0,
23.0,2.0,2.0,5.0,1.0,7.0,4.0,1.0,,
23.0,2.0,4.0,2.0,2.0,58.0,4.0,1.0,10.0,
23.0,2.0,4.0,4.0,2.0,14.0,1.0,1.0,,
23.0,1.0,3.0,1.0,2.0,39.0,2.0,1.0,10.0,
23.0,1.0,2.0,1.0,1.0,60.0,1.0,2.0,3.0,1500.0
23.0,2.0,3.0,5.0,2.0,46.0,4.0,1.0,10.0,
23.0,2.0,3.0,10.0,1.0,17.0,1.0,1.0,,
23.0,2.0,4.0,4.0,1.0,18.0,4.0,1.0,10.0,
23.0,2.0,3.0,4.0,2.0,4.0,4.0,,,
23.0,2.0,3.0,2.0,1.0,19.0,4.0,1.0,10.0,
23.0,2.0,3.0,1.0,1.0,38.0,4.0,1.0,7.0,
23.0,1.0,2.0,2.0,2.0,77.0,4.0,1.0,6.0,
23.0,1.0,2.0,3.0,2.0,24.0,1.0,1.0,,4900.0
23.0,1.0,4.0,1.0,2.0,33.0,1.0,1.0,12.0,2000.0
23.0,1.0,4.0,4.0,1.0,14.0,4.0,1.0,,
23.0,1.0,2.0,2.0,2.0,74.0,4.0,1.0,7.0,
23.0,1.0,1.0,1.0,2.0,54.0,4.0,1.0,7.0,
23.0,1.0,2.0,2.0,2.0,52.0,1.0,1.0,10.0,
23.0,1.0,2.0,1.0,2.0,66.0,4.0,1.0,3.0,
23.0,2.0,3.0,2.0,1.0,66.0,4.0,2.0,3.0,
23.0,2.0,3.0,4.0,1.0,22.0,1.0,1.0,10.0,1320.0
23.0,2.0,2.0,1.0,2.0,48.0,1.0,2.0,3.0,
23.0,2.0,3.0,1.0,2.0,66.0,4.0,1.0,12.0,
23.0,2.0,4.0,4.0,2.0,16.0,4.0,1.0,,
23.0,2.0,3.0,5.0,1.0,3.0,4.0,,,
23.0,2.0,2.0,1.0,2.0,58.0,4.0,2.0,3.0,
23.0,1.0,3.0,1.0,2.0,41.0,1.0,1.0,10.0,2000.0
23.0,1.0,4.0,2.0,2.0,31.0,4.0,1.0,7.0,1500.0
23.0,1.0,1.0,1.0,1.0,39.0,2.0,1.0,7.0,
23.0,1.0,5.0,4.0,2.0,20.0,4.0,1.0,,600.0
23.0,1.0,5.0,4.0,2.0,9.0,4.0,1.0,,
23.0,1.0,4.0,1.0,1.0,64.0,4.0,1.0,7.0,
23.0,1.0,4.0,4.0,1.0,22.0,1.0,1.0,,
23.0,1.0,1.0,1.0,1.0,63.0,4.0,1.0,5.0,1500.0
23.0,1.0,5.0,5.0,2.0,16.0,4.0,1.0,,
23.0,1.0,4.0,5.0,2.0,12.0,4.0,1.0,,
23.0,1.0,3.0,5.0,2.0,13.0,4.0,1.0,,
23.0,1.0,3.0,1.0,1.0,38.0,1.0,1.0,7.0,900.0
23.0,1.0,4.0,1.0,1.0,33.0,1.0,1.0,7.0,1000.0
23.0,1.0,4.0,4.0,1.0,2.0,4.0,,,
